Name	Type	Phone	WhatsApp	Email	Website	State	City	Languages	Operating_Hours	24x7	Specialization	Age_Groups	Cost	Verified_Date	Notes
KIRAN	National Helpline	1800-599-0019	No	N/A	https://www.pib.gov.in/pressreleaseshare.aspx?prid=1652240	All	All	"Hindi, Assamese, Tamil, Marathi, Odia, Telugu, Malayalam, Gujarati, Punjabi, Kannada, Bengali, Urdu, English"	24x7	Yes	"Mental Health Rehabilitation, Counseling"	All	Free	30-09-2025	Government of India initiative.
Vandrevala Foundation	National Helpline	9999666555	9999666555	help@vandrevalafoundation.com	https://www.vandrevalafoundation.com/	All	All	"English, Hindi, Gujarati, Bengali, Kannada, Tamil, Telugu, Malayalam, Odia, Marathi, Tulu"	24x7	Yes	"Stress, Anxiety, Depression, Suicidal thoughts"	All	Free	30-09-2025	Also offers chat support.
NIMHANS	National Helpline	080-46110007	No	hodneurology@nimhans.ac.in	https://www.nimhans.ac.in/	All	All	Multiple Indian languages	N/A	No	"Neurology, Psychiatry, Mental Health"	All	Varies	30-09-2025	Primarily a research and treatment institute.
Action for Autism	NGO	011-40540991	No	actionforautism@gmail.com	https://www.autism-india.org/	Delhi NCR	New Delhi	"English, Hindi"	9am-5pm Mon-Fri	No	"Autism Spectrum Disorder, Diagnosis, Therapy, Support"	Children and Adults	Varies	30-09-2025	Also has a helpline at helpline.afa@gmail.com
Samaritans Mumbai	NGO	+91 84229 84528 / +91 84229 84529 / +91 84229 84530	No	talk2samaritans@gmail.com	https://www.samaritansmumbai.com/	Maharashtra	Mumbai	"English, Hindi, Marathi"	5pm-8pm	No	"Suicide Prevention, Emotional Distress"	All	Free	30-09-2025	Confidential support.
Connecting Trust	NGO	+91 70302 30033	No	distressmailsconnecting@gmail.com	https://connectingngo.org/	Maharashtra	Pune	"English, Hindi, Marathi"	12pm-8pm	No	"Suicide Prevention, Emotional Distress"	All	Free	30-09-2025	
The Live Love Laugh Foundation	NGO	9999666555	Yes	help@vandrevalafoundation.com	https://www.thelivelovelaughfoundation.org/find-help/helplines	All	All	Multiple Indian languages	24x7	Yes	"Stress, Anxiety, Depression"	All	Free	30-09-2025	Partners with Vandrevala Foundation for helpline services.
Childline India	National Helpline	1098	No	N/A	https://www.childlineindia.org.in/	All	All	Multiple Indian languages	24x7	Yes	"Child Protection, Emergency Assistance for Children"	Children (0-18)	Free	30-09-2025	For children in distress.
Women's Helpline	Emergency Service	1091	No	N/A	N/A	Most States	All	State-specific	24x7	Yes	"Domestic Abuse, Violence against Women"	Women	Free	30-09-2025	Activation and services may vary by state.
Ambulance	Emergency Service	108 / 102	No	N/A	N/A	All	All	State-specific	24x7	Yes	Medical Emergencies	All	Varies	30-09-2025	"108 for emergencies, 102 for patient transport (varies by state)."
National Poisons Information Centre	National Helpline	1800 116 117	No	N/A	https://aiims.edu/index.php/hi/npic_intro	All	All	"English, Hindi"	24x7	Yes	Poisoning	All	Free	30-09-2025	"Located at AIIMS, New Delhi."
The Humsafar Trust	LGBTQ+ Support	-26673731	No	info@humsafar.org	https://www.humsafar.org/	Maharashtra	Mumbai	"English, Hindi, Marathi"	10am-6pm Mon-Sat	No	"LGBTQ+ Support, Gender & Sexual Identity"	All	Free	30-09-2025	One of India's oldest LGBTQ+ organizations.
iCall	Psychosocial Helpline	9152987821	No	icall@tiss.edu	http://icallhelpline.org/	All	All	"English, Hindi, Marathi, Gujarati, Tamil, Telugu, Malayalam, Kannada"	10am-8pm Mon-Sat	No	"Mental Health, Psychosocial counseling"	All	Free	30-09-2025	Run by the Tata Institute of Social Sciences.
Manipal Hospitals	Hospital Psychiatric Emergency	080-22221111	No	N/A	https://www.manipalhospitals.com/varthurroad/specialities/psychiatry/	Karnataka	Bangalore	"English, Kannada, and others"	24x7	Yes	Psychiatric Emergencies	All	Paid	30-09-2025	
Anjali Morris Foundation	ADHD Support	N/A	No	info@morrisfoundation.in	https://morrisfoundation.in/	Maharashtra	Pune	"English, Marathi"	N/A	No	"ADHD, Specific Learning Disabilities"	Children and Adults	Varies	30-09-2025	
SoulUp	Parent Support Group	N/A	N/A	info@soulup.in	https://www.soulup.in/products/autism-parent-support-group	All	Online	"English, Hindi"	Scheduled Sessions	No	Autism Parent Support	Parents	Paid	30-09-2025	Online therapist-led support groups.
